日期(月/日/年),比特币价值,是否可以买卖黄金,黄金价值
1/12/17,780.92,0,1205.05
1/13/17,826.29,0,1190.35
1/14/17,817.91,1
1/15/17,819.55,1
1/16/17,830.5,0,1203.0
1/17/17,903.84,0,1216.05
1/18/17,906.6,0,1214.75
1/19/17,895.798875,0,1196.05
1/20/17,893.6210875,0,1200.55
1/21/17,895.64,1
1/22/17,918.603625,1
1/23/17,922.0736125,0,1212.85
1/24/17,919.97,0,1216.8
1/25/17,893.045625,0,1195.0
1/26/17,915.95625,0,1189.7
1/27/17,915.05,0,1184.85
1/28/17,920.31225,1
1/29/17,915.933,1
1/30/17,912.19,0,1192.8
1/31/17,964.706075,0,1212.8
2/1/17,979.703875,0,1203.65
2/2/17,983.42,0,1221.95
2/3/17,1013.027,0,1215.2
2/4/17,1030.999413,1
2/5/17,1034.07,1
2/6/17,1024.01375,0,1226.75
2/7/17,1050.11,0,1231.0
2/8/17,1052.84,0,1242.1
2/9/17,976.103,0,1236.8
2/10/17,999.1035,0,1228.3
2/11/17,997.59,1
2/12/17,1000.604625,1
2/13/17,999.877375,0,1222.25
2/14/17,1001.2,0,1230.75
2/15/17,1012.325988,0,1224.4
2/16/17,1035.208125,0,1240.55
2/17/17,1035.2,0,1241.95
2/18/17,1056.637138,1
2/19/17,1052.779286,1
2/20/17,1050.87,0,1237.3
2/21/17,1123.788429,0,1233.2
2/22/17,1123.223188,0,1236.65
2/23/17,1130.01,0,1247.9
2/24/17,1174.86625,0,1253.65
2/25/17,1150.605714,1
2/26/17,1150.37,1
2/27/17,1190.75195,0,1257.2
2/28/17,1187.565286,0,1255.6
3/1/17,1190.89,0,1240.4
3/2/17,1259.410817,0,1238.1
3/3/17,1285.14,0,1226.5
3/4/17,1287.0,1
3/5/17,1270.9333,1
3/6/17,1275.197375,0,1230.95
3/7/17,1279.5,0,1216.65
3/8/17,1157.3933,0,1209.2
3/9/17,1192.469143,0,1206.55
3/10/17,1192.09,0,1202.65
3/11/17,1179.159875,1
3/12/17,1227.494625,1
3/13/17,1227.68,0,1204.2
3/14/17,1245.370786,0,1204.6
3/15/17,1257.399625,0,1198.8
3/16/17,1257.0,0,1229.35
3/17/17,1091.171888,0,1229.6
3/18/17,952.2323625,1
3/19/17,967.69,1
3/20/17,1049.084488,0,1232.4
3/21/17,1118.630043,0,1241.6
3/22/17,1113.0,0,1249.05
3/23/17,1038.789,0,1247.5
3/24/17,941.9197143,0,1247.5
3/25/17,927.93,1
3/26/17,956.7863125,1
3/27/17,1037.22925,0,1257.55
3/28/17,1041.04,0,1257.25
3/29/17,1040.5755,0,1251.1
3/30/17,1037.90455,0,1248.8
3/31/17,1034.74,0,1244.85
4/1/17,1086.929571,1
4/2/17,1099.169125,1
4/3/17,1079.99,0,1247.25
4/4/17,1141.600363,0,1257.65
4/5/17,1133.079314,0,1245.8
4/6/17,1133.53,0,1252.5
4/7/17,1190.45425,0,1266.45
4/8/17,1181.149838,1
4/9/17,1184.03,1
4/10/17,1207.744875,0,1250.05
4/11/17,1226.617038,0,1252.9
4/12/17,1219.09,0,1274.3
4/13/17,1180.023713,0,1284.15
4/14/17,1185.260057,1
4/15/17,1170.36,1
4/16/17,1186.927413,1
4/17/17,1205.634875,1
4/18/17,1176.97,0,1278.95
4/19/17,1217.930088,0,1279.05
4/20/17,1241.686325,0,1282.1
4/21/17,1236.63,0,1281.85
4/22/17,1261.311225,1
4/23/17,1257.988113,1
4/24/17,1240.84,0,1269.4
4/25/17,1279.414688,0,1267.8
4/26/17,1309.109875,0,1261.85
4/27/17,1288.02,0,1262.8
4/28/17,1331.294429,0,1266.45
4/29/17,1334.979038,1
4/30/17,1333.0,1
5/1/17,1417.172813,1
5/2/17,1452.076288,0,1255.45
5/3/17,1447.55,0,1250.3
5/4/17,1508.292125,0,1228.45
5/5/17,1533.335071,0,1228.05
5/6/17,1518.75,1
5/7/17,1535.868429,1
5/8/17,1640.619225,0,1229.8
5/9/17,1651.1,0,1220.4
5/10/17,1762.88625,0,1222.95
5/11/17,1820.990563,0,1223.15
5/12/17,1829.0,0,1231.25
5/13/17,1771.920013,1
5/14/17,1776.3165,1
5/15/17,1780.0,0,1233.3
5/16/17,1739.031975,0,1234.2
5/17/17,1807.485063,0,1257.4
5/18/17,1783.98,0,1255.9
5/19/17,1961.520488,0,1252.0
5/20/17,2052.909788,1
5/21/17,2008.84,1
5/22/17,2090.662313,0,1258.85
5/23/17,2287.710288,0,1260.2
5/24/17,2256.32,0,1252.55
5/25/17,2387.206286,0,1256.95
5/26/17,2211.976857,0,1265.05
5/27/17,2279.82,1
5/28/17,2192.9808,1
5/29/17,2275.9307,1
5/30/17,2290.02,0,1262.7
5/31/17,2285.933914,0,1266.2
6/1/17,2399.242671,0,1264.85
6/2/17,2409.93,0,1274.95
6/3/17,2525.765158,1
6/4/17,2516.173143,1
6/5/17,2529.53,0,1279.95
6/6/17,2883.313697,0,1293.5
6/7/17,2664.920863,0,1291.0
6/8/17,2683.03,0,1273.1
6/9/17,2827.4913,0,1266.55
6/10/17,2845.372857,1
6/11/17,2898.63,1
6/12/17,2657.675063,0,1266.4
6/13/17,2748.185086,0,1262.0
6/14/17,2706.0,0,1275.5
6/15/17,2442.48025,0,1254.55
6/16/17,2464.959814,0,1255.4
6/17/17,2477.94,1
6/18/17,2507.389252,1
6/19/17,2617.210263,0,1248.15
6/20/17,2600.0,0,1242.2
6/21/17,2671.04325,0,1242.5
6/22/17,2727.288013,0,1250.8
6/23/17,2713.48,0,1255.7
6/24/17,2589.164888,1
6/25/17,2512.366286,1
6/26/17,2502.03,0,1245.25
6/27/17,2517.903114,0,1249.55
6/28/17,2585.349186,0,1248.0
6/29/17,2558.3,0,1243.5
6/30/17,2477.641375,0,1242.25
7/1/17,2501.191343,1
7/2/17,2421.26,1
7/3/17,2561.225429,0,1229.25
7/4/17,2599.729838,0,1223.75
7/5/17,2598.89,0,1220.3
7/6/17,2609.96775,0,1224.9
7/7/17,2491.201214,0,1215.65
7/8/17,2502.86,1
7/9/17,2536.238938,1
7/10/17,2366.170143,0,1211.9
7/11/17,2327.09,0,1211.05
7/12/17,2385.748571,0,1218.8
7/13/17,2354.783417,0,1218.9
7/14/17,2338.49,0,1230.3
7/15/17,2058.9956,1
7/16/17,1931.2143,1
7/17/17,1910.96,0,1234.1
7/18/17,2320.12225,0,1240.75
7/19/17,2264.7657,0,1242.15
7/20/17,2265.21,0,1238.7
7/21/17,2682.195363,0,1248.55
7/22/17,2807.609857,1
7/23/17,2825.51,1
7/24/17,2751.821029,0,1255.55
7/25/17,2560.997917,0,1254.4
7/26/17,2564.3,0,1248.1
7/27/17,2647.625,0,1261.1
7/28/17,2781.636583,0,1264.9
7/29/17,2784.8,1
7/30/17,2745.955417,1
7/31/17,2866.431667,0,1267.55
8/1/17,2862.9,0,1270.95
8/2/17,2693.633983,0,1269.6
8/3/17,2794.117717,0,1268.1
8/4/17,2790.0,0,1257.7
8/5/17,3218.115017,1
8/6/17,3252.562533,1
8/7/17,3210.2,0,1258.0
8/8/17,3457.374333,0,1261.8
8/9/17,3357.326317,0,1271.05
8/10/17,3340.28,0,1284.4
8/11/17,3632.506667,0,1286.1
8/12/17,3852.802914,1
8/13/17,3868.52,1
8/14/17,4282.992,0,1282.3
8/15/17,4217.028329,0,1270.3
8/16/17,4179.97,0,1272.75
8/17/17,4328.725717,0,1285.15
8/18/17,4130.440067,0,1295.8
8/19/17,4104.71,1
8/20/17,4157.958033,1
8/21/17,4043.722,0,1292.9
8/22/17,3986.28,0,1284.2
8/23/17,4174.95,0,1286.65
8/24/17,4340.316717,0,1289.0
8/25/17,4331.77,0,1285.3
8/26/17,4360.513317,1
8/27/17,4354.308333,1
8/28/17,4339.05,1
8/29/17,4607.98545,0,1318.65
8/30/17,4594.98785,0,1308.5
8/31/17,4582.52,0,1311.75
9/1/17,4911.740017,0,1320.4
9/2/17,4580.38748,1
9/3/17,4585.57,1
9/4/17,4344.098317,0,1333.1
9/5/17,4488.72014,0,1335.55
9/6/17,4385.02,0,1337.85
9/7/17,4654.6585,0,1343.5
9/8/17,4310.750183,0,1346.25
9/9/17,4312.26,1
9/10/17,4329.955,1
9/11/17,4248.090017,0,1334.2
9/12/17,4198.59,0,1326.5
9/13/17,3961.271267,0,1327.55
9/14/17,3319.63,0,1324.55
9/15/17,3216.43,0,1322.85
9/16/17,3763.62604,1
9/17/17,3746.060783,1
9/18/17,3678.53,0,1312.1
9/19/17,3943.413333,0,1309.6
9/20/17,3977.561667,0,1311.3
9/21/17,3894.48,0,1292.1
9/22/17,3637.50255,0,1294.8
9/23/17,3776.3869,1
9/24/17,3777.62,1
9/25/17,3942.555,0,1293.3
9/26/17,3910.307383,0,1300.05
9/27/17,3881.0,0,1282.55
9/28/17,4201.98905,0,1283.35
9/29/17,4193.574667,0,1283.1
9/30/17,4164.27,1
10/1/17,4360.722967,1
10/2/17,4386.88375,0,1273.7
10/3/17,4394.07,0,1271.25
10/4/17,4225.175,0,1274.25
10/5/17,4338.852,0,1274.5
10/6/17,4318.58,0,1261.8
10/7/17,4376.191667,1
10/8/17,4602.280883,1
10/9/17,4605.66,0,1278.75
10/10/17,4782.28,0,1291.4
10/11/17,4819.485767,0,1289.25
10/12/17,4822.17,0,1290.25
10/13/17,5563.806567,0,1299.6
10/14/17,5739.438733,1
10/15/17,5825.99,1
10/16/17,5711.205867,0,1303.3
10/17/17,5603.71294,0,1284.75
10/18/17,5594.66,0,1280.2
10/19/17,5727.6335,0,1286.4
10/20/17,5979.45984,0,1281.2
10/21/17,5986.44,1
10/22/17,5983.18455,1
10/23/17,5876.079867,0,1274.9
10/24/17,5900.59,0,1276.45
10/25/17,5669.622533,0,1275.0
10/26/17,5893.138417,0,1273.75
10/27/17,5889.82,0,1266.45
10/28/17,5776.69695,1
10/29/17,6155.43402,1
10/30/17,6136.49,0,1272.0
10/31/17,6388.645167,0,1270.15
11/1/17,6665.306683,0,1277.05
11/2/17,6751.98,0,1279.2
11/3/17,7197.72006,0,1267.2
11/4/17,7437.543317,1
11/5/17,7365.99,1
11/6/17,6989.071667,0,1270.9
11/7/17,7092.127233,0,1275.6
11/8/17,7128.64,0,1284.0
11/9/17,7158.03706,0,1284.8
11/10/17,6719.39785,0,1284.3
11/11/17,6569.22,1
11/12/17,5716.301583,1
11/13/17,6550.227533,0,1277.95
11/14/17,6493.63,0,1274.6
11/15/17,7301.42992,0,1282.2
11/16/17,7815.0307,0,1280.0
11/17/17,7868.77,0,1284.35
11/18/17,7817.140383,1
11/19/17,8007.654067,1
11/20/17,8049.72,0,1286.2
11/21/17,8059.8,0,1283.3
11/22/17,8268.035,0,1286.95
11/23/17,8236.72,0,1290.35
11/24/17,8250.978333,0,1290.5
11/25/17,8707.407267,1
11/26/17,8768.8,1
11/27/17,9718.29505,0,1294.9
11/28/17,9952.50882,0,1291.85
11/29/17,9919.0,0,1283.85
11/30/17,10147.372,0,1280.2
12/1/17,10883.912,0,1275.5
12/2/17,10879.88,1
12/3/17,11332.622,1
12/4/17,11584.83,0,1273.45
12/5/17,11591.22,0,1266.3
12/6/17,13540.98,0,1263.7
12/7/17,16501.97167,0,1255.0
12/8/17,16860.88,0,1250.65
12/9/17,15142.83415,1
12/10/17,14869.805,1
12/11/17,15068.95,0,1247.15
12/12/17,17276.39333,0,1240.9
12/13/17,16808.36667,0,1242.65
12/14/17,16252.31,0,1251.0
12/15/17,17771.9,0,1254.6
12/16/17,19498.68333,1
12/17/17,19279.9,1
12/18/17,18961.85667,0,1260.6
12/19/17,17737.11167,0,1260.35
12/20/17,17382.94,0,1264.55
12/21/17,16047.51,0,1264.55
12/22/17,15190.945,1
12/23/17,13776.61,1
12/24/17,13949.175,1
12/25/17,14119.02833,1
12/26/17,13740.94,1
12/27/17,15589.32167,0,1279.4
12/28/17,14380.58167,0,1291.0
12/29/17,14214.01,1
12/30/17,13215.574,1
12/31/17,14165.575,1
1/1/18,13796.0,1
1/2/18,15005.85667,0,1312.05
1/3/18,15053.26167,0,1314.9
1/4/18,15039.24,0,1314.5
1/5/18,17174.12,0,1317.15
1/6/18,17319.198,1
1/7/18,17155.95,1
1/8/18,15265.90667,0,1319.95
1/9/18,14714.25333,0,1311.0
1/10/18,14437.42,0,1319.75
1/11/18,13296.794,0,1323.05
1/12/18,13912.882,0,1326.8
1/13/18,13791.19,1
1/14/18,13852.92,1
1/15/18,14012.196,0,1339.25
1/16/18,13554.14,0,1333.85
1/17/18,11116.94667,0,1335.65
1/18/18,11345.42333,0,1332.2
1/19/18,11174.82,0,1334.95
1/20/18,12950.79333,1
1/21/18,11505.228,1
1/22/18,11513.42,0,1332.6
1/23/18,11223.064,0,1333.4
1/24/18,11282.25833,0,1353.7
1/25/18,11392.03,0,1354.95
1/26/18,10969.815,0,1353.15
1/27/18,11524.77667,1
1/28/18,11431.37,1
1/29/18,11212.655,0,1343.85
1/30/18,10184.06167,0,1344.9
1/31/18,10082.52,0,1345.05
2/1/18,9083.258333,0,1341.35
2/2/18,8901.901667,0,1331.15
2/3/18,8852.73,1
2/4/18,8400.648333,1
2/5/18,6838.816667,0,1333.6
2/6/18,6925.46,0,1331.4
2/7/18,8099.958333,0,1324.65
2/8/18,8240.536667,0,1315.45
2/9/18,8245.08,0,1314.1
2/10/18,8319.876566,1
2/11/18,8343.455,1
2/12/18,8068.02,0,1322.3
2/13/18,8597.7675,0,1325.35
2/14/18,9334.633333,0,1336.25
2/15/18,9471.64,0,1352.45
2/16/18,10127.16167,0,1352.1
2/17/18,10841.99167,1
2/18/18,11085.83,1
2/19/18,11110.965,0,1346.6
2/20/18,11390.39167,0,1339.85
2/21/18,11245.98,0,1330.5
2/22/18,9931.071667,0,1328.35
2/23/18,10162.11667,0,1327.95
2/24/18,10171.3,1
2/25/18,9696.593333,1
2/26/18,10348.60333,0,1333.5
2/27/18,10319.46,0,1325.75
2/28/18,10370.165,0,1317.85
3/1/18,11009.38167,0,1307.75
3/2/18,10931.12,0,1322.3
3/3/18,11326.94833,1
3/4/18,11430.18167,1
3/5/18,11516.83,0,1320.4
3/6/18,10763.19833,0,1331.4
3/7/18,10118.058,0,1329.4
3/8/18,9920.46,0,1321.0
3/9/18,9089.278333,0,1320.6
3/10/18,8746.002,1
3/11/18,8777.37,1
3/12/18,9182.843333,0,1319.15
3/13/18,9154.7,0,1322.75
3/14/18,9153.54,0,1323.55
3/15/18,8358.121667,0,1318.75
3/16/18,8530.402,0,1310.1
3/17/18,8297.89,1
3/18/18,8171.415,1
3/19/18,8412.033333,0,1312.4
3/20/18,8605.64,0,1311.0
3/21/18,8947.753333,0,1321.35
3/22/18,8690.408333,0,1329.15
3/23/18,8725.37,0,1346.6
3/24/18,8662.378333,1
3/25/18,8617.296667,1
3/26/18,8457.96,0,1352.4
3/27/18,7876.195,0,1341.45
3/28/18,7960.38,0,1332.45
3/29/18,7950.61,0,1323.85
3/30/18,6882.531667,1
3/31/18,6935.48,1
4/1/18,6937.56,1
4/2/18,7035.848333,1
4/3/18,7410.435,0,1333.45
4/4/18,7426.48,0,1337.3
4/5/18,6826.51,0,1327.7
4/6/18,6603.876667,0,1331.2
4/7/18,6634.68,1
4/8/18,7017.656667,1
4/9/18,6699.273333,0,1331.95
4/10/18,6784.41,0,1338.95
4/11/18,6926.266667,0,1350.75
4/12/18,7847.845,0,1341.35
4/13/18,7941.46,0,1343.7
4/14/18,8036.511051,1
4/15/18,8340.748333,1
4/16/18,8368.1,0,1349.35
4/17/18,7895.416926,0,1342.1
4/18/18,8164.937426,0,1351.45
4/19/18,8175.96,0,1348.6
4/20/18,8852.718333,0,1336.75
4/21/18,8807.205,1
4/22/18,8930.6,1
4/23/18,8933.861667,0,1324.3
4/24/18,9555.542,0,1328.85
4/25/18,9658.11,0,1321.65
4/26/18,9258.398333,0,1320.7
4/27/18,9010.32,0,1321.5
4/28/18,8928.55,1
4/29/18,9334.281667,1
4/30/18,9259.57,0,1313.2
5/1/18,9239.55,0,1307.1
5/2/18,9221.426,0,1304.2
5/3/18,9639.268333,0,1315.05
5/4/18,9753.35,0,1309.4
5/5/18,9803.306667,1
5/6/18,9630.136277,1
5/7/18,9631.44,1
5/8/18,9228.608333,0,1306.6
5/9/18,9322.041667,0,1313.85
5/10/18,9310.37,0,1318.8
5/11/18,8468.788,0,1324.35
5/12/18,8484.346667,1
5/13/18,8463.52,1
5/14/18,8652.038333,0,1319.85
5/15/18,8511.458,0,1295.0
5/16/18,8471.06,0,1291.25
5/17/18,8106.118333,0,1289.5
5/18/18,8240.055,0,1288.3
5/19/18,8239.08,1
5/20/18,8507.406667,1
5/21/18,8385.556187,0,1288.35
5/22/18,8396.63,0,1293.05
5/23/18,7555.74,0,1289.0
5/24/18,7566.193333,0,1304.85
5/25/18,7576.78,0,1303.5
5/26/18,7342.908333,1
5/27/18,7361.831667,1
5/28/18,7344.56,1
5/29/18,7459.876667,0,1295.5
5/30/18,7385.395,0,1300.7
5/31/18,7386.72,0,1305.35
6/1/18,7535.146667,0,1294.6
6/2/18,7645.146667,1
6/3/18,7637.14,1
6/4/18,7500.273333,0,1295.45
6/5/18,7615.722142,0,1292.05
6/6/18,7619.43,0,1300.1
6/7/18,7676.271667,0,1297.25
6/8/18,7620.153333,0,1298.25
6/9/18,7615.54,1
6/10/18,6776.888333,1
6/11/18,6875.678333,0,1299.6
6/12/18,6879.31,0,1298.65
6/13/18,6315.7,0,1296.15
6/14/18,6647.013333,0,1302.75
6/15/18,6637.41,0,1285.25
6/16/18,6509.426667,1
6/17/18,6464.411667,1
6/18/18,6445.79,0,1281.55
6/19/18,6737.0,0,1276.15
6/20/18,6714.718333,0,1274.2
6/21/18,6760.83,0,1266.15
6/22/18,6332.573333,0,1269.15
6/23/18,6141.605833,1
6/24/18,6170.46,1
6/25/18,6211.4475,0,1268.7
6/26/18,6218.595,0,1260.3
6/27/18,6097.46,0,1254.6
6/28/18,6107.896154,0,1251.55
6/29/18,5908.7025,0,1250.45
6/30/18,6223.28,1
7/1/18,6374.754167,1
7/2/18,6466.069167,0,1247.8
7/3/18,6626.44,0,1251.75
7/4/18,6593.289167,0,1255.65
7/5/18,6603.376667,0,1255.5
7/6/18,6555.51,0,1255.35
7/7/18,6594.281667,1
7/8/18,6753.559167,1
7/9/18,6724.04,0,1262.05
7/10/18,6510.791667,0,1254.0
7/11/18,6377.363333,0,1251.4
7/12/18,6403.18,0,1245.9
7/13/18,6244.3575,0,1241.7
7/14/18,6241.0,1
7/15/18,6248.84,1
7/16/18,6514.390833,0,1241.1
7/17/18,6869.910833,0,1232.8
7/18/18,7321.62,0,1224.5
7/19/18,7396.401667,0,1217.55
7/20/18,7428.045,0,1228.75
7/21/18,7334.99,1
7/22/18,7451.289167,1
7/23/18,7689.884167,0,1224.95
7/24/18,7715.1,0,1228.35
7/25/18,8251.165,0,1231.5
7/26/18,8187.324167,0,1228.25
7/27/18,7939.81,0,1223.95
7/28/18,8182.251667,1
7/29/18,8206.341667,1
7/30/18,8220.91,0,1223.8
7/31/18,7916.800833,0,1220.95
8/1/18,7570.869167,0,1219.0
8/2/18,7607.7,0,1215.45
8/3/18,7394.499167,0,1216.3
8/4/18,7247.769167,1
8/5/18,7011.28,1
8/6/18,6988.079167,0,1209.65
8/7/18,6993.513333,0,1212.35
8/8/18,6718.23,0,1209.55
8/9/18,6396.7725,0,1214.35
8/10/18,6396.494667,0,1214.4
8/11/18,6138.96,1
8/12/18,6311.131667,1
8/13/18,6347.07,0,1200.35
8/14/18,6252.13,0,1197.0
8/15/18,6362.676923,0,1182.0
8/16/18,6342.629231,0,1180.4
8/17/18,6312.75,0,1178.4
8/18/18,6436.720833,1
8/19/18,6404.063333,1
8/20/18,6486.58,0,1184.35
8/21/18,6401.246154,0,1190.95
8/22/18,6575.229167,0,1196.65
8/23/18,6354.57,0,1192.35
8/24/18,6543.645714,0,1197.7
8/25/18,6719.429231,1
8/26/18,6738.27,1
8/27/18,6719.266154,1
8/28/18,7000.04,0,1212.25
8/29/18,7078.19,0,1204.2
8/30/18,6932.6625,0,1197.3
8/31/18,6981.946154,0,1202.45
9/1/18,7018.78,1
9/2/18,7247.935385,1
9/3/18,7260.949231,0,1200.05
9/4/18,7265.08,0,1190.85
9/5/18,7113.069231,0,1196.7
9/6/18,6433.271667,0,1205.15
9/7/18,6501.19,0,1198.9
9/8/18,6366.1075,1
9/9/18,6286.425833,1
9/10/18,6240.98,0,1196.6
9/11/18,6296.320833,0,1189.85
9/12/18,6273.1375,0,1195.6
9/13/18,6326.04,0,1209.8
9/14/18,6499.0625,0,1201.95
9/15/18,6518.655,1
9/16/18,6522.39,1
9/17/18,6400.600833,0,1201.9
9/18/18,6296.631667,0,1200.2
9/19/18,6342.39,0,1203.3
9/20/18,6418.562667,0,1208.35
9/21/18,6669.990833,0,1198.7
9/22/18,6756.12,1
9/23/18,6710.445,1
9/24/18,6639.304167,0,1202.75
9/25/18,6583.45,0,1201.9
9/26/18,6468.631667,0,1194.25
9/27/18,6535.476667,0,1185.4
9/28/18,6686.08,0,1187.25
9/29/18,6550.474167,1
9/30/18,6593.135,1
10/1/18,6611.02,0,1189.35
10/2/18,6562.641667,0,1204.7
10/3/18,6470.4025,0,1201.2
10/4/18,6483.73,0,1203.45
10/5/18,6568.549167,0,1203.8
10/6/18,6581.486667,1
10/7/18,6573.62,1
10/8/18,6618.567692,0,1186.95
10/9/18,6621.711667,0,1185.55
10/10/18,6626.85,0,1188.6
10/11/18,6248.635833,0,1205.55
10/12/18,6260.530833,0,1219.75
10/13/18,6247.0,1
10/14/18,6299.399167,1
10/15/18,6452.571667,0,1229.95
10/16/18,6599.17,0,1230.7
10/17/18,6596.276154,0,1229.05
10/18/18,6568.040769,0,1223.0
10/19/18,6509.61,0,1227.85
10/20/18,6488.825833,1
10/21/18,6531.601667,1
10/22/18,6504.78,0,1222.3
10/23/18,6481.426,0,1235.95
10/24/18,6508.31,0,1230.55
10/25/18,6489.77,0,1230.8
10/26/18,6473.753333,0,1233.85
10/27/18,6465.9175,1
10/28/18,6457.21,1
10/29/18,6382.668333,0,1230.8
10/30/18,6309.452857,0,1225.4
10/31/18,6301.61,0,1214.95
11/1/18,6342.280833,0,1231.15
11/2/18,6387.674167,0,1232.1
11/3/18,6390.42,1
11/4/18,6391.873333,1
11/5/18,6436.965,0,1232.25
11/6/18,6437.76,0,1231.6
11/7/18,6538.79,0,1229.95
11/8/18,6486.251667,0,1224.15
11/9/18,6444.97,0,1211.4
11/10/18,6399.033333,1
11/11/18,6378.268333,1
11/12/18,6408.53,0,1205.55
11/13/18,6372.063333,0,1202.1
11/14/18,6176.155,0,1203.25
11/15/18,5756.77,0,1211.85
11/16/18,5596.1925,0,1222.4
11/17/18,5558.243333,1
11/18/18,5572.44,1
11/19/18,5303.9425,0,1221.6
11/20/18,4671.97,0,1223.0
11/21/18,4491.98,0,1226.1
11/22/18,4548.7975,0,1227.05
11/23/18,4309.3375,0,1223.65
11/24/18,4352.98,1
11/25/18,3823.511667,1
11/26/18,3920.536667,0,1223.4
11/27/18,3793.35,0,1221.2
11/28/18,4103.453846,0,1213.25
11/29/18,4263.783333,0,1226.25
11/30/18,4278.77,0,1217.55
12/1/18,4116.7775,1
12/2/18,4167.546667,1
12/3/18,4140.6,0,1230.3
12/4/18,3961.493333,0,1240.3
12/5/18,3858.349167,0,1235.9
12/6/18,3744.98,0,1242.55
12/7/18,3405.643333,0,1243.3
12/8/18,3435.34,1
12/9/18,3453.66,1
12/10/18,3523.96,0,1245.35
12/11/18,3426.19,0,1245.3
12/12/18,3407.28,0,1245.75
12/13/18,3406.7625,0,1242.75
12/14/18,3278.374167,0,1235.35
12/15/18,3242.42,1
12/16/18,3271.238333,1
12/17/18,3392.405,0,1241.65
12/18/18,3556.54,0,1246.3
12/19/18,3808.0425,0,1255.0
12/20/18,3982.850833,0,1259.75
12/21/18,4135.19,0,1258.15
